Field ID	Description	Short_Name	Category	Category_Name
25056	Mean FA in middle cerebellar peduncle on FA skeleton			Diffusion_brain_MRI
25057	Mean FA in pontine crossing tract on FA skeleton			Diffusion_brain_MRI
25058	Mean FA in genu of corpus callosum on FA skeleton			Diffusion_brain_MRI
25059	Mean FA in body of corpus callosum on FA skeleton			Diffusion_brain_MRI
25060	Mean FA in splenium of corpus callosum on FA skeleton			Diffusion_brain_MRI
25061	Mean FA in fornix on FA skeleton			Diffusion_brain_MRI
25062	Mean FA in corticospinal tract on FA skeleton (R)			Diffusion_brain_MRI
25063	Mean FA in corticospinal tract on FA skeleton (L)			Diffusion_brain_MRI
25064	Mean FA in medial lemniscus on FA skeleton (R)			Diffusion_brain_MRI
25066	Mean FA in inferior cerebellar peduncle on FA skeleton (R)			Diffusion_brain_MRI
25067	Mean FA in inferior cerebellar peduncle on FA skeleton (L)			Diffusion_brain_MRI
25068	Mean FA in superior cerebellar peduncle on FA skeleton (R)			Diffusion_brain_MRI
25069	Mean FA in superior cerebellar peduncle on FA skeleton (L)			Diffusion_brain_MRI
25071	Mean FA in cerebral peduncle on FA skeleton (L)			Diffusion_brain_MRI
25072	Mean FA in anterior limb of internal capsule on FA skeleton (R)			Diffusion_brain_MRI
25073	Mean FA in anterior limb of internal capsule on FA skeleton (L)			Diffusion_brain_MRI
25074	Mean FA in posterior limb of internal capsule on FA skeleton (R)			Diffusion_brain_MRI
25075	Mean FA in posterior limb of internal capsule on FA skeleton (L)			Diffusion_brain_MRI
25076	Mean FA in retrolenticular part of internal capsule on FA skeleton (R)			Diffusion_brain_MRI
25077	Mean FA in retrolenticular part of internal capsule on FA skeleton (L)			Diffusion_brain_MRI
25078	Mean FA in anterior corona radiata on FA skeleton (R)			Diffusion_brain_MRI
25079	Mean FA in anterior corona radiata on FA skeleton (L)			Diffusion_brain_MRI
25080	Mean FA in superior corona radiata on FA skeleton (R)			Diffusion_brain_MRI
25081	Mean FA in superior corona radiata on FA skeleton (L)			Diffusion_brain_MRI
25083	Mean FA in posterior corona radiata on FA skeleton (L)			Diffusion_brain_MRI
25084	Mean FA in posterior thalamic radiation on FA skeleton (R)			Diffusion_brain_MRI
25085	Mean FA in posterior thalamic radiation on FA skeleton (L)			Diffusion_brain_MRI
25086	Mean FA in sagittal stratum on FA skeleton (R)			Diffusion_brain_MRI
25087	Mean FA in sagittal stratum on FA skeleton (L)			Diffusion_brain_MRI
25088	Mean FA in external capsule on FA skeleton (R)			Diffusion_brain_MRI
25089	Mean FA in external capsule on FA skeleton (L)			Diffusion_brain_MRI
25090	Mean FA in cingulum cingulate gyrus on FA skeleton (R)			Diffusion_brain_MRI
25091	Mean FA in cingulum cingulate gyrus on FA skeleton (L)			Diffusion_brain_MRI
25092	Mean FA in cingulum hippocampus on FA skeleton (R)			Diffusion_brain_MRI
25093	Mean FA in cingulum hippocampus on FA skeleton (L)			Diffusion_brain_MRI
25094	Mean FA in fornix cres+stria terminalis on FA skeleton (R)			Diffusion_brain_MRI
25096	Mean FA in superior longitudinal fasciculus on FA skeleton (R)			Diffusion_brain_MRI
25097	Mean FA in superior longitudinal fasciculus on FA skeleton (L)			Diffusion_brain_MRI
25098	Mean FA in superior fronto-occipital fasciculus on FA skeleton (R)			Diffusion_brain_MRI
25099	Mean FA in superior fronto-occipital fasciculus on FA skeleton (L)			Diffusion_brain_MRI
25100	Mean FA in uncinate fasciculus on FA skeleton (R)			Diffusion_brain_MRI
25101	Mean FA in uncinate fasciculus on FA skeleton (L)			Diffusion_brain_MRI
25102	Mean FA in tapetum on FA skeleton (R)			Diffusion_brain_MRI
25103	Mean FA in tapetum on FA skeleton (L)			Diffusion_brain_MRI
25344	Mean ICVF in middle cerebellar peduncle on FA skeleton			Diffusion_brain_MRI
25345	Mean ICVF in pontine crossing tract on FA skeleton			Diffusion_brain_MRI
25346	Mean ICVF in genu of corpus callosum on FA skeleton			Diffusion_brain_MRI
25347	Mean ICVF in body of corpus callosum on FA skeleton			Diffusion_brain_MRI
25349	Mean ICVF in fornix on FA skeleton			Diffusion_brain_MRI
25350	Mean ICVF in corticospinal tract on FA skeleton (R)			Diffusion_brain_MRI
25351	Mean ICVF in corticospinal tract on FA skeleton (L)			Diffusion_brain_MRI
25352	Mean ICVF in medial lemniscus on FA skeleton (R)			Diffusion_brain_MRI
25353	Mean ICVF in medial lemniscus on FA skeleton (L)			Diffusion_brain_MRI
25354	Mean ICVF in inferior cerebellar peduncle on FA skeleton (R)			Diffusion_brain_MRI
25355	Mean ICVF in inferior cerebellar peduncle on FA skeleton (L)			Diffusion_brain_MRI
25356	Mean ICVF in superior cerebellar peduncle on FA skeleton (R)			Diffusion_brain_MRI
25357	Mean ICVF in superior cerebellar peduncle on FA skeleton (L)			Diffusion_brain_MRI
25358	Mean ICVF in cerebral peduncle on FA skeleton (R)			Diffusion_brain_MRI
25359	Mean ICVF in cerebral peduncle on FA skeleton (L)			Diffusion_brain_MRI
25360	Mean ICVF in anterior limb of internal capsule on FA skeleton (R)			Diffusion_brain_MRI
25361	Mean ICVF in anterior limb of internal capsule on FA skeleton (L)			Diffusion_brain_MRI
25362	Mean ICVF in posterior limb of internal capsule on FA skeleton (R)			Diffusion_brain_MRI
25363	Mean ICVF in posterior limb of internal capsule on FA skeleton (L)			Diffusion_brain_MRI
25364	Mean ICVF in retrolenticular part of internal capsule on FA skeleton (R)			Diffusion_brain_MRI
25365	Mean ICVF in retrolenticular part of internal capsule on FA skeleton (L)			Diffusion_brain_MRI
25366	Mean ICVF in anterior corona radiata on FA skeleton (R)			Diffusion_brain_MRI
25367	Mean ICVF in anterior corona radiata on FA skeleton (L)			Diffusion_brain_MRI
25368	Mean ICVF in superior corona radiata on FA skeleton (R)			Diffusion_brain_MRI
25369	Mean ICVF in superior corona radiata on FA skeleton (L)			Diffusion_brain_MRI
25370	Mean ICVF in posterior corona radiata on FA skeleton (R)			Diffusion_brain_MRI
25371	Mean ICVF in posterior corona radiata on FA skeleton (L)			Diffusion_brain_MRI
25372	Mean ICVF in posterior thalamic radiation on FA skeleton (R)			Diffusion_brain_MRI
25373	Mean ICVF in posterior thalamic radiation on FA skeleton (L)			Diffusion_brain_MRI
25374	Mean ICVF in sagittal stratum on FA skeleton (R)			Diffusion_brain_MRI
25375	Mean ICVF in sagittal stratum on FA skeleton (L)			Diffusion_brain_MRI
25376	Mean ICVF in external capsule on FA skeleton (R)			Diffusion_brain_MRI
25377	Mean ICVF in external capsule on FA skeleton (L)			Diffusion_brain_MRI
25378	Mean ICVF in cingulum cingulate gyrus on FA skeleton (R)			Diffusion_brain_MRI
25379	Mean ICVF in cingulum cingulate gyrus on FA skeleton (L)			Diffusion_brain_MRI
25380	Mean ICVF in cingulum hippocampus on FA skeleton (R)			Diffusion_brain_MRI
25381	Mean ICVF in cingulum hippocampus on FA skeleton (L)			Diffusion_brain_MRI
