Field.ID	Description	Category	Category_Name
25056	Mean_FA_in_middle_cerebellar_peduncle_on_FA_skeleton	Diffusion_brain_MRI_dMRI_skeleton	Diffusion_brain_MRI
25057	Mean_FA_in_pontine_crossing_tract_on_FA_skeleton	Diffusion_brain_MRI_dMRI_skeleton	Diffusion_brain_MRI
25058	Mean_FA_in_genu_of_corpus_callosum_on_FA_skeleton	Diffusion_brain_MRI_dMRI_skeleton	Diffusion_brain_MRI
25059	Mean_FA_in_body_of_corpus_callosum_on_FA_skeleton	Diffusion_brain_MRI_dMRI_skeleton	Diffusion_brain_MRI
25060	Mean_FA_in_splenium_of_corpus_callosum_on_FA_skeleton	Diffusion_brain_MRI_dMRI_skeleton	Diffusion_brain_MRI
25061	Mean_FA_in_fornix_on_FA_skeleton	Diffusion_brain_MRI_dMRI_skeleton	Diffusion_brain_MRI
25062	Mean_FA_in_corticospinal_tract_on_FA_skeleton_(R)	Diffusion_brain_MRI_dMRI_skeleton	Diffusion_brain_MRI
25063	Mean_FA_in_corticospinal_tract_on_FA_skeleton_(L)	Diffusion_brain_MRI_dMRI_skeleton	Diffusion_brain_MRI
25064	Mean_FA_in_medial_lemniscus_on_FA_skeleton_(R)	Diffusion_brain_MRI_dMRI_skeleton	Diffusion_brain_MRI
25066	Mean_FA_in_inferior_cerebellar_peduncle_on_FA_skeleton_(R)	Diffusion_brain_MRI_dMRI_skeleton	Diffusion_brain_MRI
25067	Mean_FA_in_inferior_cerebellar_peduncle_on_FA_skeleton_(L)	Diffusion_brain_MRI_dMRI_skeleton	Diffusion_brain_MRI
25068	Mean_FA_in_superior_cerebellar_peduncle_on_FA_skeleton_(R)	Diffusion_brain_MRI_dMRI_skeleton	Diffusion_brain_MRI
25069	Mean_FA_in_superior_cerebellar_peduncle_on_FA_skeleton_(L)	Diffusion_brain_MRI_dMRI_skeleton	Diffusion_brain_MRI
25071	Mean_FA_in_cerebral_peduncle_on_FA_skeleton_(L)	Diffusion_brain_MRI_dMRI_skeleton	Diffusion_brain_MRI
25072	Mean_FA_in_anterior_limb_of_internal_capsule_on_FA_skeleton_(R)	Diffusion_brain_MRI_dMRI_skeleton	Diffusion_brain_MRI
25073	Mean_FA_in_anterior_limb_of_internal_capsule_on_FA_skeleton_(L)	Diffusion_brain_MRI_dMRI_skeleton	Diffusion_brain_MRI
25074	Mean_FA_in_posterior_limb_of_internal_capsule_on_FA_skeleton_(R)	Diffusion_brain_MRI_dMRI_skeleton	Diffusion_brain_MRI
25075	Mean_FA_in_posterior_limb_of_internal_capsule_on_FA_skeleton_(L)	Diffusion_brain_MRI_dMRI_skeleton	Diffusion_brain_MRI
25076	Mean_FA_in_retrolenticular_part_of_internal_capsule_on_FA_skeleton_(R)	Diffusion_brain_MRI_dMRI_skeleton	Diffusion_brain_MRI
25077	Mean_FA_in_retrolenticular_part_of_internal_capsule_on_FA_skeleton_(L)	Diffusion_brain_MRI_dMRI_skeleton	Diffusion_brain_MRI
25078	Mean_FA_in_anterior_corona_radiata_on_FA_skeleton_(R)	Diffusion_brain_MRI_dMRI_skeleton	Diffusion_brain_MRI
25079	Mean_FA_in_anterior_corona_radiata_on_FA_skeleton_(L)	Diffusion_brain_MRI_dMRI_skeleton	Diffusion_brain_MRI
25080	Mean_FA_in_superior_corona_radiata_on_FA_skeleton_(R)	Diffusion_brain_MRI_dMRI_skeleton	Diffusion_brain_MRI
25081	Mean_FA_in_superior_corona_radiata_on_FA_skeleton_(L)	Diffusion_brain_MRI_dMRI_skeleton	Diffusion_brain_MRI
25083	Mean_FA_in_posterior_corona_radiata_on_FA_skeleton_(L)	Diffusion_brain_MRI_dMRI_skeleton	Diffusion_brain_MRI
25084	Mean_FA_in_posterior_thalamic_radiation_on_FA_skeleton_(R)	Diffusion_brain_MRI_dMRI_skeleton	Diffusion_brain_MRI
25085	Mean_FA_in_posterior_thalamic_radiation_on_FA_skeleton_(L)	Diffusion_brain_MRI_dMRI_skeleton	Diffusion_brain_MRI
25086	Mean_FA_in_sagittal_stratum_on_FA_skeleton_(R)	Diffusion_brain_MRI_dMRI_skeleton	Diffusion_brain_MRI
25087	Mean_FA_in_sagittal_stratum_on_FA_skeleton_(L)	Diffusion_brain_MRI_dMRI_skeleton	Diffusion_brain_MRI
25088	Mean_FA_in_external_capsule_on_FA_skeleton_(R)	Diffusion_brain_MRI_dMRI_skeleton	Diffusion_brain_MRI
25089	Mean_FA_in_external_capsule_on_FA_skeleton_(L)	Diffusion_brain_MRI_dMRI_skeleton	Diffusion_brain_MRI
25090	Mean_FA_in_cingulum_cingulate_gyrus_on_FA_skeleton_(R)	Diffusion_brain_MRI_dMRI_skeleton	Diffusion_brain_MRI
25091	Mean_FA_in_cingulum_cingulate_gyrus_on_FA_skeleton_(L)	Diffusion_brain_MRI_dMRI_skeleton	Diffusion_brain_MRI
25092	Mean_FA_in_cingulum_hippocampus_on_FA_skeleton_(R)	Diffusion_brain_MRI_dMRI_skeleton	Diffusion_brain_MRI
25093	Mean_FA_in_cingulum_hippocampus_on_FA_skeleton_(L)	Diffusion_brain_MRI_dMRI_skeleton	Diffusion_brain_MRI
25094	Mean_FA_in_fornix_cres+stria_terminalis_on_FA_skeleton_(R)	Diffusion_brain_MRI_dMRI_skeleton	Diffusion_brain_MRI
25096	Mean_FA_in_superior_longitudinal_fasciculus_on_FA_skeleton_(R)	Diffusion_brain_MRI_dMRI_skeleton	Diffusion_brain_MRI
25097	Mean_FA_in_superior_longitudinal_fasciculus_on_FA_skeleton_(L)	Diffusion_brain_MRI_dMRI_skeleton	Diffusion_brain_MRI
25098	Mean_FA_in_superior_fronto-occipital_fasciculus_on_FA_skeleton_(R)	Diffusion_brain_MRI_dMRI_skeleton	Diffusion_brain_MRI
25099	Mean_FA_in_superior_fronto-occipital_fasciculus_on_FA_skeleton_(L)	Diffusion_brain_MRI_dMRI_skeleton	Diffusion_brain_MRI
25100	Mean_FA_in_uncinate_fasciculus_on_FA_skeleton_(R)	Diffusion_brain_MRI_dMRI_skeleton	Diffusion_brain_MRI
25101	Mean_FA_in_uncinate_fasciculus_on_FA_skeleton_(L)	Diffusion_brain_MRI_dMRI_skeleton	Diffusion_brain_MRI
25102	Mean_FA_in_tapetum_on_FA_skeleton_(R)	Diffusion_brain_MRI_dMRI_skeleton	Diffusion_brain_MRI
25103	Mean_FA_in_tapetum_on_FA_skeleton_(L)	Diffusion_brain_MRI_dMRI_skeleton	Diffusion_brain_MRI
25344	Mean_ICVF_in_middle_cerebellar_peduncle_on_FA_skeleton	Diffusion_brain_MRI_dMRI_skeleton	Diffusion_brain_MRI
25345	Mean_ICVF_in_pontine_crossing_tract_on_FA_skeleton	Diffusion_brain_MRI_dMRI_skeleton	Diffusion_brain_MRI
25346	Mean_ICVF_in_genu_of_corpus_callosum_on_FA_skeleton	Diffusion_brain_MRI_dMRI_skeleton	Diffusion_brain_MRI
25347	Mean_ICVF_in_body_of_corpus_callosum_on_FA_skeleton	Diffusion_brain_MRI_dMRI_skeleton	Diffusion_brain_MRI
25349	Mean_ICVF_in_fornix_on_FA_skeleton	Diffusion_brain_MRI_dMRI_skeleton	Diffusion_brain_MRI
25350	Mean_ICVF_in_corticospinal_tract_on_FA_skeleton_(R)	Diffusion_brain_MRI_dMRI_skeleton	Diffusion_brain_MRI
25351	Mean_ICVF_in_corticospinal_tract_on_FA_skeleton_(L)	Diffusion_brain_MRI_dMRI_skeleton	Diffusion_brain_MRI
25352	Mean_ICVF_in_medial_lemniscus_on_FA_skeleton_(R)	Diffusion_brain_MRI_dMRI_skeleton	Diffusion_brain_MRI
25353	Mean_ICVF_in_medial_lemniscus_on_FA_skeleton_(L)	Diffusion_brain_MRI_dMRI_skeleton	Diffusion_brain_MRI
